〜	~
복 통	복통
伏鬼	伏兎
複棄	複葉
茯茶	茯苓
腹服	腹脹
腹腹	腹脹
복불 인	복불인
腹腺	腹脹
服用 한 	服用한 
복은 것	볶은 것
복잡 하	복잡하
腹張	腹脹
腹清	腹瀉
茯측	茯苓
茯층	茯苓
伏兔	伏兎
茯품	茯苓
腹皮鄉	腹皮拘攣
茯혼	茯苓
볶 	볶
본 능	본능
본 래	본래
本 品	本品
본것	본 것
볼수	볼 수
볼수있	볼 수 있
捧	痺
棒	悸
蜂	蜂
棒瘡	痔瘡
俘	悸
不 	不
부 근	부근
부 드	부드
부 분	부분
不 隨	不隨
부 위	부위
部 位	部位
附 子	附子
부 족	부족
부 종	부종
不 進	不進
부 착	부착
부 터	부터
부 하	부하
부\(膽\)	부(腑)
婦A	婦人
附A	附人
賦苦	膩苔
附구	附子
肤痰	祛痰
부맥\(浮月© 	부맥(浮脈)
部門	郄門
副臂	副腎
不濱	不瀉
부沙	부(少
부식■	부삭
腐心	瀉心
府熱	疳熱
肤癒	祛瘀
敷陰	竅陰
不妊	不姙
不敵	不斂
浮郑	浮郄
附腫	胕腫
腐触	腐蝕
肤風	祛風
肤寒	祛寒
肤痕	祛痰
体	體
분 노	분노
分 量	分量
분 류	분류
분 비	분비
분 야	분야
분 포	분포
奔M	奔豚
盆氣	益氣
愤濃	懊憹
分挽	分娩
分晚	分娩
奔脈	奔豚
奔脉	奔豚
噴噴	噴嚔
奔膝	奔豚
愤憶	懊憹
奮香	藿香
불 가능	불가능
불 리	불리
불구 하	불구하
불렀	 불렀
佛蠻	怫鬱
불웅	불응
붓 고	붓고
鹏	臍
棚砂	硼砂
붕투	붕루
鹏下	臍下
鹏虫	蛔蟲
붙 	붙
비 골	비골
비 교적	비교적
비 뇨	비뇨
비 록	비록
비 롯	비롯
비 만	비만
備 用	備用
秘 典	秘典
비\(牌\)	비(脾)
臂經	臂脛
臂曲	彎曲
脾骨	髀骨
脾關	髀關
비교 적	비교적
臂氣	腎氣
鼻紐	鼻衄
臂騰	臂臑
臂時	臂肘
鼻室	鼻窒
비癌	비痞
臂陽	腎陽
臂外眥	臂外皆
備圓	橢圓
臂俞	腎俞
脾臓炎	膵臓炎
脾樞	髀樞
脾枢	髀樞
비타민\(:	비타민C
비타민2	비타민E
비타민8	비타민B
臂虛	腎虛
脾賢	脾腎
臂形	脣形
濱	瀉
頻 尿	頻尿
빈 번	빈번
濱肝	瀉肝
滨肝	瀉肝
宾門	箕門
濱法	瀉法
濱心	瀉心
滨心	瀉心
濱蕩	潰瘍
濱血	瀉血
濱火	瀉火
빋이들•	받아들
빙•어	방어
빙어	방어
ᄈ	痿症
빨 리	빨리
빴 	빴
빼脇	胸脇
뻣 뻣	뻣뻣
뾰 	뾰
뾰鈴	兜鈴
뿌 리	뿌리
ᄉ	人
ᄉ®	人蔘
ᄉ赛	人蔘
ᄉ蔡	人蔘
ㅅ	人
邪 客	邪客
사 고	사고
史 記	史記
사 람	사람
瀉 法	瀉法
사 실	사실
사 회	사회
사\(德\)	사(瀉)
사\(濱\)	사(瀉)
四\*	四大
사\^I龍湯	小靑龍湯
사§•	사용
사0寫	사(瀉
射關節	肘關節
사구채	사구체
祀菊	杞菊
사균자	사군자
瀉铜	瀉痢
瀉爛	潰爛
사로 잡	사로잡
사림	사람
捨滅	捻鍼
四物蘭	四物湯
四物港	四物湯
四物황	四物湯
사상의 학	사상의학
梭線	稜線
사심 탕	사심탕
舍厳	舍巖
四逆끓	四逆湯
四逆淸	四逆湯
四逆港	四逆湯
思邀	思邈
사용 하	사용하
사용 한	사용한
사운할	사용할
捨轉	捻轉
捨挫	捻挫
사진\(四談	사진(四診
沙參	沙蔘
赦瘡	斂瘡
舍躲	舍巖
朔果	蒴果
삭맥\(數M	삭맥(數脈
產	産
산 소	산소
산\-엔돌핀	β-엔돌핀
酸S仁	酸棗仁
酸轰	酸棗
酸轰仁	酸棗仁
酸棄仁	酸棗仁
酸裏	酸棗
山梅子	山梔子
酸腹	酸脹
酸腹感	酸脹感
散슴	散合
酸藥仁	酸棗仁
散癒	散瘀
산조 인	산조인
酸秦	酸棗
酸秦仁	酸棗仁
山菜英	山茱萸
散蔽	散瘀
散疲	散瘀
酸酵	醱酵
薩	癃
撒梗	繖梗
살된 	살 된 
撒房	繖房
薩白	薤白
撒狀	繖狀
살수	살 수
살펴 보	살펴보
살피보	살펴보
撒形	繖形
撒花	繖花
渗	滲
삼 각	삼각
三 卷	三卷
三 里	三里
삼 소음	삼소음
三 陰	三陰
三 焦	三焦
三理	三里
三痿症	三稜鍼
三際各	三陽絡
插子	梔子
상 당히	상당히
桑 白	桑白
상 징	상징
상 태	상태
상 한론	상한론
상 황	상황
傷A	傷人
上ft症	上氣症
상각근	삼각근
상과임상	상과 임상
相勉	相剋
上敷	上竅
傷臂	傷腎
相葉	栢葉
上脘叢	上腕叢
上院	上脘
箱子	葙子
上充	上亢
上七發	上七竅
상태를	상태를 
상하\^뇌하	상하부-뇌하
상한론 總論	상한론傷寒論
상한론«論	상한론傷寒論
상한론mr論	상한론傷寒論
상한론췌論	상한론傷寒論
상한론했論	상한론傷寒論
上骸	上髎
傷賢	傷腎
赛	萎
새 로	새로
塞味	薑味
赛香	麝香
赛黃	萎黃
색\(畜\)	색(嗇)
索亂	紊亂
생 각	생각
생 강	생강
생 강탕	생강탕
생 겨	생겨
생 기	생기
生 氣	生氣
생 긴	생긴
생 님	생님
생 명	생명
생 물	생물
생 산	생산
생 체	생체
생 활	생활
生■湯	生薑湯
생각 하	생각하
생강 탕	생강탕
생강3	생강 3
生薑황	生薑湯
生舊	生薑
생긱	생각
生臺	生薑
生蓮	生薑
生蓮湯	生薑湯
生理 痛	生理痛
생리 학	생리학
生蔓	生薑
생명활\^	생명활동
生墓	生薑
生醫	生翳
生晝	生薑
生蓄	生薑
生疲	生痰
生畫	生薑
緒	緖
서 늘	서늘
서 양의학	서양의학
서I 	세 
鼠瘦	鼠瘻
서양의 학	서양의학
서이 	서 이 
石 膏	石膏
石科	石斛
石料	石斛
石賣	石膏
夕卜	外
石裔	石膏
石青	石膏
石乏	砭
腊下	臍下
섞 	섞
善 忘	善忘
선 상	선상
선 생	선생
선 택	선택
선\-엔돌핀	β-엔돌핀
宣蠻	宣鬱
腺滿	脹滿
선밍	선망
禪蛻	蟬蛻
禪悅	禪蛻
宣옮	崑崙
禪脫	蟬蛻
禪退	蟬退
설 명	설명
설 사	설사
泄 薦	泄瀉
설 탕	설탕
說皆	銳眥
泄遣	泄瀉
舌苦	舌苔
泄滚	泄瀉
說骨	銳骨
泄德	泄瀉
泄涛	泄瀉
舌綠	舌絳
설명 하	설명하
舌菩	舌苔
泄潟	泄瀉
薛膝炎	膵臓炎
泄濕	泄瀉
泄憶	泄瀉
泄演	泄瀉
泄遠	泄瀉
薛臓	膵臟
泄滴	泄瀉
설정 하	설정하
泄薦	泄瀉
泄清	泄瀉
泄湯	泄瀉
舌笞	舌苔
泄篇	泄瀉
泄鶴	泄瀉
泄海	泄瀉
泄嬉	泄瀉
繊	纖
섬 유	섬유
摄	證
섭 취	섭취
성 분	성분
聖A	聖人
聲卿	聲嘶
聲嘔	聲喝
誠灸	鍼灸
聲聊	聲嘶
誠法	鍼法
聲晰	聲嘶
誠術	鍼術
誠은	鍼은
誠刺	鍼刺
성종 양	성종양
誠治	鍼治
醒通學	匯通學
细	細
세 균	세균
세 신탕	세신탕
세 포	세포
세된	세 된
세번	세 번
세올®	세올^®^
셉기	씹기
션파	β파
소 건중	소건중
소 금	소금
素 問	素問
소 변	소변
小 柴胡	小柴胡
少 陽	少陽
少 陰	少陰
소 청룡	소청룡
소 통	소통
小 便	小便
消 化	消化
小A	小人
小技	小枝
蘇棄	蘇葉
小督	小眥
소뚱산	소풍산
蔬白	薤白
少菩	少苔
소복\(小膨	소복(小腹)
銷狀	鞘狀
燒誠	燒鍼
小勝經	小腸經
소실 되	소실되
消深	消爍
消癌	消痞
소양 병	소양병
消癒	消癰
小稳	小穗
소줌산	소풍산
소청룡	소청통
小靑龍 湯	小靑龍湯
소청통	소청룡
燒蟲	蟯蟲
銷齒	鋸齒
消褒	消痰
소품산	소풍산
素骸	素髎
蘇血	瘀血
少衡	少衝
소회될•량	소화불량
속 적	속적
손 가락	손가락
손 바닥	손바닥
손 상	손상
손가 탁	손가락
손과발	손과 발
손롭	손톱
孫思it	孫思邈
孫思M	孫思邈
損竹	攢竹
摔痛	痺痛
晒 乾	晒乾
衰 弱	衰弱
쇼痛	止痛
수 \^다	수 있다
水 量	水量
수 면	수면
睡 眠	睡眠
수 있다	 수 있다
수\^체	수용체
수§•체	수용체
水甘 湯	朮甘湯
瘦库	瘙痒
收敎	收斂
水灸	水炙
瘦厥	痙厥
瘦厥	痿厥
수기\(水놓	수기(水氣
瘦療	瘦瘠
收流	收澁
瘦瘤	癭瘤
壽痲疹	蕁麻疹
手滅	手鍼
水滅	水鍼
瘦攀	痙攣
瘦捧	瘙痒
收赦	收斂
瘦瘦	瘦瘠
수없	수 없
瘦軟	痿軟
收溫	收澁
瘦飮	痰飮
수있	수 있
水張	水脹
收敵	收斂
手足滅	手足鍼
瘦腫	癰腫
寿瘡	痔瘡
瘦痛	痠痛
水抱	水疱
水泡	水疱
瘦疲	瘈瘲
水鶴	水鷄
愁火	慾火
숙 변	숙변
淑水	漱水
宿초	宿主
순 환	순환
純頭	鈍頭
循騰	循臑
純圓	鈍圓
循子	梔子
純痛	鈍痛
荀片	苞片
숫 	숫
嵩	窩
숭모근	승모근
숲\{募	金傷
쉽 	쉽
스 러	스러
스 런	스런
스 리	스리
스 테로	스테로
스 트	스트
스 트레	스트레
스스 로	스스로
스테톨	스테롤
스트 레	스트레
슬 관절	슬관절
슬 러	슬러
膝臓炎	膵臓炎
膝苔	膩苔
슬품	슬픔
膝疲軟	膝痠軟
습 관	습관
濕 潤	濕潤
濕溝	濕濁
濕獨	濕濁
濕疼	濕疹
濕戀	濕鬱
濕蠻	濕鬱
濕渗	濕疹
濕摔	濕痺
濕心	瀉心
濕痒	濕痺
濕彥	濕疹
濕疫	濕疹
濕營	濕鬱
拾挫	捻挫
濕懲	濕鬱
濕疲	濕痰
濕痕	濕痰
승 마	승마
승:\)1탕	승기탕
승e근	승모근
承ft湯	承氣湯
勝胱	膀胱
승기 탕	승기탕
承氣끓	承氣湯
承氣港	承氣湯
承氣海	承氣湯
勝臓	膵臓
승회\"Sub	승화sub
时	時
시 간 	시간 
시 냅	시냅
시 대	시대
始 生	始生
時 尖	肘尖
시 켜	시켜
시 키	시키
시 키는	시키는
시 킨	시킨
시 킬	시킬
시 킴	시킴
柴 胡	柴胡
시"	사
시■용	사용
시·용	사용
시•	사
시•용	사용
시계 지건강팅	시호계지건강탕
時關	肘關
시군자	사군자
시넷	시냇
柴茶	柴苓
始糖	飴糖
柴勵ms	柴胡加
時髎	肘髎
施滅	施鍼
柴朴渴	柴朴湯
시박팅	시박탕
廝旁	臍旁
時部	肘部
時臂	肘臂
시상의 학	사상의학
시상의학	사상의학
시상히\^	시상하부
시술지	시술자
시싱•	사상
柴爷	柴苓
時外	肘外
시용	사용
시율계지\^\"	시호계지탕
時中	肘中
時尖	肘尖
柴측	柴苓
柴층	柴苓
時骸	肘髎
柴胡桂枝溪	柴胡桂枝湯
柴胡溝肝	柴胡淸肝
柴胡易	柴胡湯
柴胡游	柴胡湯
柴胡場	柴胡湯
柴혼	柴苓
柴홉	柴苓
时後	肘後
柴휴	柴苓
柴흑湯	柴苓湯
柴흡湯	柴苓湯
식 초	식초
식 품	식품
食®	食鹽
食攀	食鬱
食餅	食餌
殖泄	飱泄
食愁	食慾
식은 땀	식은땀
食懲	食鬱
媳風	熄風
殖霞	殭蠶
慎	瀉
肾	腎
신 경	신경
神 經	神經
신 경통	신경통
신 전	신전
신 진대사	신진대사
신 체	신체
新 編	新編
신 호	신호
신\(臂\)	신(腎)
신\(背\)	신(腎)
신\(賢\)	신(腎)
신경 염	신경염
신경 학	신경학
神關	神闕
腎孟	腎盂
身体	身體
神誠	神鍼
识實	枳實
신양허W陽	신양허腎陽
腎翁	腎兪
신음허W陰	신음허腎陰
辛夷	辛荑
神闘	神闕
身疲療	身痲痺
辛喊	辛鹹
신허Wit 	신허腎虛
신賢	신腎
娠眩	賑眩
慎火	瀉火
慎懷	懊憹
실 시	실시
實 熱	實熱
실 제	실제
실 증	실증
실 행	실행
실 험	실험
室塞	窒塞
室葉	莖葉
실이•	살아 
실資	실實
심 각	심각
심 리	심리
心 法	心法
심 신	심신
心 有	心有
심 장	심장
심 전도	심전도
심 층	심층
心窮	心竅
深綠	深絳
心萬部	心窩部
心發	心竅
心棒	心悸
心俘	心悸
心愁	心慾
心窝해	心窩部
心淨	心悸
心中癌	心中痞
心慘	心悸
心择	心悸
心下居	心下痞
心下怪	心下悸
心下窟鞭	心下痞鞭
心下唐	心下痞
心下病硬	心下痞硬
心下俘	心下悸
심하비 견	심하비견
心下宿	心下痞
心下癌	心下痞
心下癌5M	心下痞硬
心下淨	心下悸
心下痛	心下痞
心賢	心腎
심히\(心	심하(心
十A	十人
十裏湯	十棗湯
十秦	十棗
싱•	상
싱습	상습
싱승	상승
싶 	싶
쌍등이	쌍둥이
쌓 	쌓
썰 	썰
쑤 어	쑤어
쓸수	쓸 수
氏滅	氏鍼
씩끓	씩 끓
씩복용	씩 복용
씻 	씻
ᅀ시J：\^■	소시호탕
ᄋr	or
鸦	鴉
아 니	아니
아 닌	아닌
아 드레	아드레
아 래	아래
아 미노	아미노
아 버	아버
아 야	아야
아 직	아직
아 프	아프
아 픈	아픈
牙艱	牙齦
아을러	아울러
牙鳥	鴉
아품	아픔
아픈 쪽	아픈쪽
악 화	악화
惡賠	惡虧
安 中勸	安中散
眼棄	眼窠
顏動	顫動
안좋	안 좋
按之儒	按之濡
按之篇	按之濡
按之漂	按之濡
안태지투	안태지루
按하면 儒	按하면 濡
按該	按診
眼險	眼瞼
顔會	顖會
앉하	앉히
않 	않
알 레	알레
알 아	알아
알 코	알코
알수	알 수
알이•	알아
胺風	祛風
앓고난	앓고 난
癌	癲
暗 褐	暗褐
癌硬	痞硬
癌滿	痞滿
癌塞	痞塞
癌痒	瘙痒
압 통	압통
壓 痛	壓痛
鴨妬	鴨跖
았 	았
앞위	앞 위
艾械	艾絨
艾住	艾炷
艾柱	艾炷
애칙	애착
額顧	額顱
額厭	頷厭
앤 다	앤다
爷甘	苓甘
爷桂	苓桂
夜茶	茯苓
惹白	蔥白
夜爷	茯苓
惹졌仁	薏苡仁
夜측	茯苓
야한다	야 한다
爷後	茯苓
夜휴	茯苓
약 간	약간
약 물	약물
약 재	약재
약 화	약화
약 효	약효
약간다	약간 다
藥滅	藥鍼
藥餅	藥餌
薬本	藁本
藥賓	蕤賓
약한불	약한 불
陽 A	陽人
陽 經	陽經
陽 明	陽明
陽 維	陽維
陽A	陽人
양계\(隨\)	양계(陽谿)
陽踏	陽蹻
양룽	양릉
양명 병	양명병
陽上充	陽上亢
陽瘦	陽痿
嚷逆	噦逆
壤玉膏	瓊玉膏
養졌仁	薏苡仁
陽充	陽亢
陽豁	陽谿
於 	於
어 깨	어깨
어 나\,	어나,
어 느	어느
어 떠	어떠
어 떤	어떤
어 렵	어렵
어 린	어린
어 서 	어서 
어 야 	어야 
어 야한다	어야 한다
어 울	어울
魚 際	魚際
어 져	어져
어 지게	어지게
어 지는	어지는
어 진다	어진다
어 찌	어찌
어느정	어느 정
어먹는	어 먹는
어복용	어 복용
어야한다	어야 한다
어혈\(疲血	어혈(瘀血
억 간산	억간산
억간 산	억간산
抑蠻	抑鬱
언 제	언제
言歸躍艾湯	芎歸膠艾湯
彦陣	彦暉
얼 굴	얼굴
엄 지	엄지
掩子	梔子
掩指	拇指
없 	없
없디	없다
었 	었
었 다	었다
엉 덩	엉덩
엉덩 이	엉덩이
에 게	에게
에 너	 에너
에 띠과	에 따라
에 띠와	에 따라
에 서	에서
에 서 	에서 
에 서는	에서는
에 서도	에서도
에 의 	에의 
에의 한	에 의한
에의 해	에 의해
에 이 용	에 이용
에 게	에게
에 서 	에서
에가 깝	에 가깝
에게이 	에게 이 
에게재	에 게재
에관	에 관
에까	에 까
에나 누어	에 나누어
에나와	에 나와
에넣	에 넣
에놓	에 놓
에달	에 달
에담	에 담
에대	에 대
에도움	에 도움
에들	에 들
에디슨병	애디슨병
에따	에 따
에많	에 많
에먹	에 먹
에복용	에 복용
에분포	에 분포
에사용	에 사용
에서 는 	에서는 
에서 도 	에서도 
에서서 	에 서서 
에서이 	에서 이 
에서할	에서 할
에실	에 실
에쓰인	에 쓰인
에씻	에 씻
에위치	에 위치
에응용	에 응용
에의	에 의
에의해	에 의해
에이 	에 이 
에있	에 있
에작	에 작
에적	에 적
에좋	에 좋
에한	에 한
에효	에 효
엑 기스	엑기스
엑기 스	엑기스
엔 돌핀	엔돌핀
舆	輿
여 겨	여겨
여 러	여러
여 서 	여서 
여 야 	여야 
여 윈	여윈
여기이 	여기 이 
여넓	여덟
여러가지	여러 가지
여러번	여러 번
輿貌	輿輗
輿稅	輿輗
輿税	輿輗
여야한다	여야 한다
与藥	芍藥
역 시	역시
역 할	역할
疫飲	痰飮
研	硏
铅	鉛
연 결	연결
연 관	연관
연 구	연구
연싱	연상
緣刺	繆刺
演肺	瀉肺
演火	瀉火
열 매	열매
熱督癒	熱瞀瘛
熱铜	熱痢
熱蠻	熱鬱
熱張	熱脹
熱疲	熱痰
염 두	염두
염 제	염제
염 좌	염좌
염 증	염증
炎甘草	炙甘草
厌茶	茯苓
厌측	茯苓
焰稱	焰硝
葉銷	葉鞘
葉蔽	葉腋
였 	였
였 다	였다
赢	羸
颖	穎
영 감강미	영감강미
영 향	영향
榮穴	滎穴
옆드	엎드
옆드려	엎드려
鋭	銳
예 방	예방
예 후	예후
瞖膜	翳膜
藝賓	蕤賓
烏 頭	烏頭
오 래	오래
오 령산	오령산
오 른	오른
五 神	五神
五 臓	五臓
五 흡散	五苓散
오 히	오히
梧梗	桔梗
吳鞕通	吳鞠通
梧구	梧子
澳濃	懊憹
澳惱	懊惱
五茶	五苓
五茶散	五苓散
汚獨	汚濁
吳莱焚	大黃湯
吳莱焚	吳茱萸
吳莱雙	吳茱萸
吳莱英	吳茱萸
吳莱奥	吳茱萸
吳莱黃	吳茱萸
吳莱黄	吳茱萸
澳散	渙散
五腺	五臟
五爷	五苓
五癒津	五癮津
五ᄎ	五大
吳菜！！	吳茱萸
吳菜!!	吳茱萸
吳菜！!	吳茱萸
吳菜契	吳茱萸
吳菜英	吳茱萸
吳菜奥	吳茱萸
吳菜黃	吳茱萸
五측散	五苓散
五行滅	五行鍼
五혼散	五苓散
五홉	五苓
五홉散	五苓散
五華散	五苓散
澳懷	懊憹
五휴	五苓
五휴散	五苓散
五흉散	五苓散
五흡散	五苓散
오ᅡ	와
屋醫	屋翳
温	溫
蕴	蘊
溫 胞	溫煦
溫i»	溫膽
온갖	온갖 
온갖([^ ]?)	온갖 $1
온경 탕	온경탕
溫滅	溫鍼
溫臂	溫腎
溫脾황	溫脾湯
穩狀	穗狀
穩狀花	穗狀花
올 리	올리
올 린	올린
올수	올 수
옮 	옮
옹\(癒\)	옹(癰)
雍白	薤白
翁府	兪府
擁瘦	癱瘓
擁圓	橢圓
擁腫	癰腫
癰着	癒着
窝	窩
窝肝	瀉肝
와같	와 같
와관련	와 관련
와르룽	와르릉
와목	와 목
窝心	瀉心
와있	와 있
와팔	와 팔
와함께	와 함께
腕腹	脘腹
完花	芫花
完活	羌活
왔 	왔
旺門	肛門
外 關	外關
외 측	외측
外 賢	外腎
外皆	外眥
外課	外踝
外跟	外踝
外裸	外踝
外普	外眥
외싱	외상
外躁	外踝
외즉	외측
外賢	外腎
왼성	완성
요 법	요법
腰 痛	腰痛
腰«	腰痛
要缺	要訣
摇溺	搐搦
揺溺	搐搦
腰紙	腰骶
耀閉	癃閉
腰훑	腰痛
욕 구	욕구
欲\*	欲大
欲嫩	欲漱
欲嚇	欲嚥
용 골모려	용골모려
용 된	용된
用 하	用하
用 穴	用穴
蓉石	礬石
冗盛	亢盛
冗進	亢進
祐	祛
于 	于
우 리	우리
우 울	우울
우 유	우유
우I	위
牛姜子	牛蒡子
牛萝子	牛蒡子
우려 먹	우려먹
牛勞子	牛蒡子
우리 나라	우리나라
牛夢子	牛蒡子
憂攀	憂鬱
右膀	右臍
祐邪	祛邪
祐濕	祛濕
우을	우울
우을증	우울증
尤進	亢進
牛秦子	牛蒡子
牛蒂子	牛蒡子
祐風	祛風
祐疲	祛瘀
牛皮癒	牛皮癬
祐寒	祛寒
祐換血	袪瘀血
祐痕	祛痰
우ᅵ	위
욱좋	욱 좋
운 동	운동
운 용	운용
運滅	運鍼
운물	운 물
운증	운 증
울 체	울체
움 직	움직
웅 용	응용
雄藤	雄蕊
雄蓝	雄蕊
雄蔬	雄蕊
雄蘇	雄蕊
웅용	응용
雄滋	雄蕊
원 인	원인
圓 柱	圓柱
原 穴	原穴
圓 形	圓形
援茶	茯苓
院腹	脘腹
院腹	脘脹
圓維	圓錐
圓雜	圓錐
월 경	월경
月干	肝
月艮 用	服用
月工	肛
月力	肋
越姆	越婢
月卑	脾
越碑	越婢
月市	肺
月旨	脂
偽	爲
偽	僞
喂	嘔
爲 	爲
衛 氣	衛氣
위 암	위암
위 염	위염
위 치	위치
위 한	위한
위 해	위해
위\(爲\) 	위(僞) 
胃家费	胃家實
胃茶湯	胃苓湯
緯色	絳色
胃胺	胃脘
胃爷	胃苓
胃腕	胃脘
胃院	胃脘
謂之 	謂之
위해 서	위해서
윗 부분	윗부분
儒	濡
孺	濡
俞	兪
喻	喩
有 	有
儒 門	儒門
유 발	유발
유 사	유사
有 餘	有餘
유 형	유형
癒癎	癲癎
癒狂	癲狂
游囊	澼囊
有膽	有膿
癒膽	癰膿
癒疼	癮疹
유뜰	유돌
癒膜	癰膿
유메iirni	유머hum
유메lu	유머hu
癒門	瘂門
癒斑	瘀斑
癒病有五	癲病有五
癒病之	癲病之
愈府	兪府
癒屬喜	癲屬喜
乳瘦	乳癰
儒養	濡養
遊遙	逍遙
遺遙	逍遙
瑜垣	踰垣
癒爲心血	 癲爲心血
乳癒	乳癰
癒谊	癰疽
癒滴	癲癎
癒点	瘀点
癒點	瘀點
癒腫	癰腫
游主之	湯主之
癒瘡	癰瘡
癒滯	瘀滯
維體	錐體
癒則癎	癲則癎
癒則宜	癲則宜
癒閉	癃閉
有疲	有痰
柔疲	柔痙
游合	湯合
癒血	瘀血
癒桓	癰疽
儒滑	濡滑
癒痕	癰疽
육 체	육체
육경\(六@	육경(六經)
육균자	육군자
肉目間	肉瞤
育俞	肓兪
肉潤	肉瞤
肉觸	肉瞚
潤 膚	潤膚
潤動	瞤動
으 	으
으 나	으나
으 나 	으나 
으 로	으로
으 며	으며
으 면	으면
으 면 	으면 
으 키	으키
으 킨	으킨
으\|	의
으I	의
으I 	의 
으로 하	으로하
으로하	으로 하
으ᅵ	의
으ㅣ	의
稳	穗
은 묶	은 묽
은것	은 것
은게 	은 게 
은곳	은 곳
銀交	齦交
은느낌	은 느낌
은다음	은 다음
은물	은 물
稳狀	穗狀
은아니	은 아니
은의 사의	은 의사의
은이 	은 이 
銀鍾散	銀翹散
은중간	은 중간
은쪽	은 쪽
은처방	은 처방
을 띠와	을 따라
을 수록 	을수록
을 人傳	을 사용
을가	을 가
을가 	을 가
을가 지	을 가지
을가지	을 가지
을갖	을 갖
을개선	을 개선
을건조	을 건조
을것	을 것
을결	을 결
을경우	을 경우
을고정	을 고정
을공격	을 공격
을구별	을 구별
을굽	을 굽
을忌	을 忌
을깨	을 깨
을끓	을 끓
을나타	을 나타
을낫	을 낫
을내	을 내
을내고	을 내고
을넣	을 넣
을높	을 높
을놓	을 놓
을느	을 느
을늘	을 늘
을돌	을 돌
을돕	을 돕
을동반	을 동반
을두	을 두
을뒤	을 뒤
을들	을 들
을따	을 따
을때	을 때
을마	을 마
을만	을 만
을많	을 많
을말	을 말
을맞	을 맞
을먹	을 먹
을멈춘	을 멈춘
을목표	을 목표
을못	을 못
을받	을 받
을밟	을 밟
을배	을 배
을보	을 보
을복용	을 복용
을볼	을 볼
을빚	을 빚
을빼	을 빼
을사용	을 사용
을삭	을 삭
을살	을 살
을선택	을 선택
을설명	을 설명
을수	을 수
을수있	을 수 있
을시	을 시
을신	을 신
을실	을 실
을실시	을 실시
을썰	을 썰
을쓰	을 쓰
을쓴	을 쓴
을씻	을 씻
을알	을 알
을억제	을 억제
을없	을 없
을예방	을 예방
을움	을 움
을위	을 위
을유지	을 유지
을의	을 의
을의 미	을 의미
을이	을 이
을이 	을 이 
을이해	을 이해
을인용	을 인용
을일	을 일
을잘	을 잘
을정	을 정
을제거	을 제거
을조절	을 조절
을조정	을 조정
을좋	을 좋
을주	을 주
을준	을 준
을줄	을 줄
을증	을 증
을참	을 참
을참고	을 참고
을찾	을 찾
을초래	을 초래
을촉진	을 촉진
을치료	을 치료
을통	을 통
을포함	을 포함
을풀	을 풀
을하	을 하
을하게	을 하게
을한	을 한
을한다	을 한다
을할	을 할
을할 	을 할 
을할수	을 할 수
을함께	을 함께
을함유	을 함유
을했	을 했
을향	을 향
을형성	을 형성
을회복	을 회복
飮	飮
飲	飮
陰 A	陰人
陰 乾	陰乾
陰 經	陰經
陰 交	陰交
음 식	음식
陰 陽	陰陽
음 파	음파
音®	音啞
陰A	陰人
陰踏	陰蹻
음룽	음릉
陰痺帶下	陰痒帶下
음식 물	음식물
陰郑	陰郄
음직	움직
陰짧	陰都
陰華	陰莖
陰桓	陰疽
응용 할	응용할
毅	穀
谊	疽
의 대옹	의 대응
의 이인	의이인
醫 學	醫學
의 학을	의학을
意 했仁	薏苡仁
意;©	薏苡
意\^	薏苡
意\^ 仁	薏苡仁
意\^仁	薏苡仁
醫\*	醫大
意\]茨仁	薏苡仁
意©	薏苡
意©:	薏苡
意©;	薏苡
意®	薏苡
意®:	薏苡
意®;	薏苡
意甘湯	薏甘湯
의같	의 같
의개념	의 개념
醫經	腎經
의경우	의 경우
의경험	의 경험
醫股	臀股
醫과 	腎과 
의굴곡	의 굴곡
醫氣丸	腎氣丸
의대응	의 대응
醫膜	翳膜
醫膜	瞖膜
醫明	翳明
意附	薏附
의뿌	의 뿌
의선택	의 선택
의성숙	의 성숙
醫水	腎水
의시들	의사들
의시윤리	의사윤리
意識	意識
宜伸忌變	宜伸忌鬱
宜伸忌聽	宜伸忌鬱
의신전	의 신전
의이 인	의이인
薏苡 仁	薏苡仁
의이상	의 이상
의작용	의 작용
醫障	翳障
醫正格	腎正格
意졌	薏苡
의중간	의 중간
의증상	의 증상
의측	의 측
의통증	의 통증
醫風	翳風
의학 의 	의학의 
의한에	의한 에
의해에	의해 에
意했仁	薏苡仁
의회전	의 회전
이 것	 이것
이 게 	이게 
이 고 	이고 
이 고 이고 	
이 나 	이나 
이 다\.	이다.
이 두근	이두근
이 라	이라
이 라 	이라 
이 란	이란
이 러	이러
이 론	이론
이 루	이루
이 르	이르
이 면 	이면 
이 외 	 이외 
已 清	已潰
이 후 	 이후 
이\(\*\)	이(裏)
이\(«\)	이(裏)
二A	二人
이P로	이므로
이것 저것	이것저것
이경우	이 경우
二求湯	二朮湯
이나 \^날	이 나타날
이나타	이 나타
이되는	이 되는
이되어	이 되어
이된	이 된
이된 	이 된 
이된다\.	이 된다.
이두근거	이 두근거
이라 고	이라고
이라하	이라 하
이라한다	이라 한다
耳廊	耳廓
이루 	이루
이루 어	이루어
이른 바 	이른바 
이리는	이라는
耳滅	耳鍼
이비 인후	이비인후
이상태	이 상태
耳聲	耳聾
耳誠	耳鍼
以소	以上
耳襲	耳聾
二十五人j	二十五人』
